distance,841,595,420,297,210,149
0,0.007905849,0.015610457,0.039802354,0.062111221,0.023616926,0.004499147
52,0.007303056,0.012543786,0.029794526,0.060147092,0.034319509,0.00715748
147,0.006590827,0.010182742,0.025939731,0.055352777,0.029294445,0.004642382
214,0.002611925,0.009665272,0.042366109,0.105662134,0.045116109,0.005971757
271,0.00233239,0.006321306,0.030175291,0.107965785,0.063557617,0.007262213
364,0.003398468,0.007495911,0.02920031,0.070909873,0.025199277,0.001880003
487,0.000494532,0.002003487,0.01019496,0.041489935,0.022317324,0.002599461
583,0.000448156,0.000928906,0.001784477,0.008832756,0.018146262,0.007056427
690,8.55E-05,9.97E-05,0.000911681,0.008525641,0.008212251,0.001552707
756,0.001026747,0.00124245,0.001587575,0.011941329,0.013520276,0.00649698
863,0.002118438,0.003244909,0.00744816,0.028682982,0.029338689,0.012088548
944,0.003505602,0.006848572,0.012450307,0.029526563,0.030556559,0.011203469
1040,0.000614828,0.001772152,0.004086799,0.017721519,0.022640145,0.008915009
1110,0.000172973,0.002732973,0.008873514,0.027347027,0.022382703,0.012263784
1220,0.000497091,0.001163406,0.002559492,0.006356425,0.005827604,0.001787414
1331,0.000183647,0.000489725,0.003121994,0.011386095,0.016904241,0.005771753
1453,3.99E-04,5.32E-04,1.71E-03,0.013360786,0.026664555,0.009901806
1538,0.000232365,0.000456432,0.001717842,0.003742739,0.002182573,0.000863071
1632,0.000263756,0.000181901,0.000327422,0.002419281,0.009622556,0.004411096
1726,9.94E-06,4.97E-05,8.95E-05,0.000775348,0.004811133,0.002942346
1842,2.76E-04,0.001381509,0.00229543,0.007970244,0.017258236,0.007417641
1916,0.00E+00,1.45E-04,8.95E-04,0.004415323,0.014552419,0.007173387
2002,8.71E-05,1.94E-05,4.07E-04,0.004017425,0.009545015,0.004211036
2158,8.66E-05,0.00012987,0.00015873,0.00038961,0.002424242,0.004776335
2282,1.34E-05,2.67E-05,8.01E-05,0.001481976,0.007610147,0.007396529
2380,5.80E-05,2.90E-05,4.35E-05,0.000181159,0.001318841,0.001804348
